,age,gender,profile,tenure,TV,movies,Vouchers,calling,Total_charges,Billing,Loyalty
71976,51.0,0.0,0.0,26.0,48.0,21.0,88.0,48.0,2700.0,0.0,97.5
75940,51.0,0.0,3.0,2.0,15.0,30.0,55.0,24.0,900.0,1.0,65.0
41614,33.0,0.0,3.0,14.0,33.0,27.0,66.0,30.0,3150.0,0.0,100.5
37929,33.0,0.0,1.0,10.0,18.0,39.0,33.0,0.0,6300.0,0.0,80.5
62136,39.0,1.0,0.0,6.0,45.0,33.0,11.0,6.0,3150.0,0.0,83.5
99117,57.0,1.0,0.0,18.0,45.0,33.0,33.0,48.0,1800.0,1.0,85.5
14910,18.0,1.0,3.0,22.0,33.0,18.0,88.0,24.0,5850.0,0.0,97.5
62895,39.0,1.0,0.0,22.0,0.0,6.0,77.0,18.0,450.0,0.0,69.5
62775,39.0,1.0,0.0,18.0,27.0,48.0,33.0,30.0,6300.0,0.0,100.5
101101,57.0,1.0,1.0,22.0,24.0,27.0,44.0,42.0,0.0,1.0,85.5
84208,51.0,1.0,2.0,6.0,45.0,6.0,44.0,15.0,0.0,1.0,68.5
27383,21.0,1.0,0.0,14.0,9.0,45.0,33.0,9.0,5400.0,1.0,84.5
6047,18.0,0.0,3.0,18.0,3.0,3.0,66.0,9.0,450.0,0.0,63.5
40859,33.0,0.0,3.0,2.0,15.0,6.0,33.0,48.0,3600.0,0.0,74.0
19162,21.0,0.0,0.0,22.0,36.0,30.0,77.0,21.0,5400.0,0.0,96.5
24824,21.0,0.0,4.0,2.0,30.0,39.0,11.0,48.0,5400.0,1.0,83.0
84696,51.0,1.0,2.0,14.0,45.0,48.0,99.0,15.0,5400.0,1.0,96.5
9807,18.0,1.0,1.0,2.0,9.0,24.0,55.0,36.0,6750.0,0.0,77.0
93975,57.0,0.0,3.0,2.0,6.0,18.0,11.0,48.0,4050.0,0.0,74.0
61862,39.0,1.0,0.0,6.0,15.0,18.0,22.0,9.0,1800.0,0.0,62.5
46023,33.0,1.0,1.0,10.0,15.0,3.0,33.0,45.0,1350.0,1.0,69.5
43382,33.0,0.0,4.0,22.0,21.0,36.0,88.0,39.0,900.0,0.0,82.5
73037,51.0,0.0,1.0,14.0,36.0,24.0,88.0,21.0,4050.0,1.0,96.5
98877,57.0,1.0,0.0,14.0,48.0,9.0,88.0,27.0,2700.0,0.0,94.5
66945,39.0,1.0,3.0,6.0,30.0,36.0,0.0,39.0,4950.0,0.0,93.5
95799,57.0,0.0,4.0,6.0,45.0,45.0,0.0,27.0,4500.0,0.0,93.5
47611,33.0,1.0,2.0,6.0,48.0,9.0,0.0,45.0,2250.0,1.0,87.5
98013,57.0,1.0,0.0,2.0,42.0,27.0,55.0,9.0,450.0,0.0,58.0
78671,51.0,0.0,4.0,14.0,18.0,36.0,0.0,12.0,1350.0,0.0,72.5
6096,18.0,0.0,3.0,18.0,3.0,21.0,66.0,0.0,6300.0,1.0,81.5
23128,21.0,0.0,3.0,10.0,3.0,24.0,77.0,24.0,4500.0,1.0,87.5
79411,51.0,0.0,4.0,26.0,9.0,48.0,55.0,24.0,4500.0,1.0,94.5
66503,39.0,1.0,3.0,2.0,3.0,36.0,88.0,0.0,3150.0,0.0,67.0
97007,57.0,0.0,4.0,18.0,27.0,18.0,55.0,3.0,4500.0,1.0,87.5
104729,57.0,1.0,3.0,14.0,45.0,18.0,55.0,48.0,2250.0,0.0,97.5
61947,39.0,1.0,0.0,6.0,36.0,39.0,22.0,33.0,1350.0,0.0,78.5
436,18.0,0.0,0.0,6.0,3.0,6.0,22.0,6.0,6300.0,1.0,71.5
32309,21.0,1.0,3.0,6.0,3.0,24.0,99.0,3.0,3600.0,1.0,77.5
71503,51.0,0.0,0.0,22.0,21.0,0.0,11.0,39.0,2250.0,0.0,91.5
75530,51.0,0.0,2.0,22.0,33.0,15.0,99.0,24.0,450.0,1.0,82.5
62566,39.0,1.0,0.0,14.0,36.0,0.0,11.0,42.0,2250.0,0.0,94.5
85075,51.0,1.0,2.0,22.0,39.0,42.0,11.0,33.0,6300.0,0.0,100.5
53479,39.0,0.0,0.0,10.0,12.0,6.0,33.0,48.0,900.0,0.0,66.5
524,18.0,0.0,0.0,6.0,15.0,12.0,44.0,48.0,4500.0,0.0,84.5
92356,57.0,0.0,1.0,26.0,18.0,27.0,77.0,39.0,5850.0,1.0,97.5
56614,39.0,0.0,2.0,6.0,27.0,42.0,77.0,42.0,5400.0,0.0,93.5
35628,33.0,0.0,0.0,2.0,3.0,33.0,77.0,18.0,2250.0,0.0,73.0
81635,51.0,1.0,0.0,18.0,36.0,21.0,11.0,15.0,4500.0,0.0,93.5
56648,39.0,0.0,2.0,6.0,30.0,30.0,0.0,18.0,1350.0,0.0,74.5
106230,57.0,1.0,4.0,6.0,33.0,12.0,11.0,30.0,3600.0,0.0,87.5
91674,57.0,0.0,1.0,10.0,9.0,33.0,88.0,27.0,2250.0,0.0,87.5
48102,33.0,1.0,2.0,14.0,48.0,30.0,22.0,36.0,2700.0,0.0,100.5
65555,39.0,1.0,2.0,10.0,36.0,36.0,55.0,12.0,4050.0,0.0,83.5
87258,51.0,1.0,4.0,2.0,39.0,12.0,11.0,48.0,1800.0,1.0,62.0
41414,33.0,0.0,3.0,10.0,36.0,15.0,88.0,6.0,2700.0,0.0,80.5
47606,33.0,1.0,2.0,6.0,48.0,0.0,77.0,48.0,0.0,1.0,72.5
67914,39.0,1.0,3.0,22.0,12.0,30.0,11.0,36.0,6300.0,1.0,94.5
65492,39.0,1.0,2.0,10.0,27.0,36.0,55.0,21.0,4500.0,1.0,89.5
107244,57.0,1.0,4.0,18.0,48.0,9.0,0.0,24.0,4950.0,0.0,94.5
38471,33.0,0.0,1.0,22.0,0.0,21.0,88.0,0.0,1350.0,0.0,66.5
87480,51.0,1.0,4.0,6.0,12.0,3.0,44.0,39.0,5400.0,1.0,81.5
73300,51.0,0.0,1.0,18.0,24.0,33.0,77.0,21.0,6750.0,1.0,96.5
68753,39.0,1.0,4.0,10.0,3.0,18.0,55.0,27.0,2700.0,0.0,84.5
71805,51.0,0.0,0.0,26.0,36.0,6.0,0.0,18.0,2250.0,1.0,90.5
94612,57.0,0.0,3.0,10.0,30.0,21.0,99.0,30.0,1350.0,1.0,75.5
46078,33.0,1.0,1.0,10.0,15.0,45.0,33.0,0.0,4050.0,0.0,80.5
51620,33.0,1.0,4.0,14.0,27.0,6.0,11.0,48.0,0.0,0.0,79.5
33526,21.0,1.0,3.0,22.0,3.0,6.0,44.0,18.0,2700.0,0.0,84.5
41081,33.0,0.0,3.0,6.0,0.0,15.0,66.0,15.0,900.0,1.0,65.5
48991,33.0,1.0,3.0,2.0,45.0,33.0,55.0,30.0,2700.0,0.0,83.0
33537,21.0,1.0,3.0,22.0,3.0,12.0,0.0,45.0,6750.0,0.0,88.5
8926,18.0,1.0,0.0,14.0,21.0,45.0,77.0,3.0,5850.0,0.0,87.5
54803,39.0,0.0,1.0,6.0,30.0,36.0,11.0,33.0,1800.0,0.0,78.5
7586,18.0,0.0,4.0,14.0,12.0,27.0,66.0,21.0,5850.0,0.0,90.5
39144,33.0,0.0,2.0,2.0,45.0,18.0,88.0,33.0,6750.0,1.0,80.0
19317,21.0,0.0,0.0,26.0,42.0,45.0,77.0,3.0,2250.0,0.0,90.5
97813,57.0,1.0,0.0,2.0,33.0,9.0,11.0,12.0,2250.0,0.0,67.0
101066,57.0,1.0,1.0,22.0,24.0,18.0,88.0,24.0,4050.0,1.0,97.5
34602,21.0,1.0,4.0,10.0,48.0,0.0,0.0,24.0,450.0,1.0,72.5
98616,57.0,1.0,0.0,14.0,0.0,33.0,44.0,9.0,4500.0,0.0,84.5
48505,33.0,1.0,2.0,22.0,21.0,15.0,99.0,12.0,4950.0,1.0,84.5
27242,21.0,1.0,0.0,10.0,15.0,6.0,44.0,0.0,450.0,0.0,59.5
83764,51.0,1.0,1.0,26.0,42.0,45.0,0.0,12.0,900.0,1.0,75.5
60842,39.0,0.0,4.0,14.0,42.0,18.0,0.0,30.0,450.0,0.0,82.5
70171,39.0,1.0,4.0,26.0,21.0,21.0,88.0,42.0,1350.0,0.0,79.5
10741,18.0,1.0,1.0,14.0,24.0,3.0,11.0,18.0,2250.0,0.0,90.5
4499,18.0,0.0,2.0,22.0,3.0,9.0,22.0,39.0,4050.0,1.0,88.5
20612,21.0,0.0,1.0,26.0,0.0,33.0,99.0,24.0,1350.0,0.0,79.5
53975,39.0,0.0,0.0,18.0,6.0,3.0,88.0,45.0,5850.0,0.0,88.5
26218,21.0,0.0,4.0,22.0,15.0,27.0,0.0,30.0,4950.0,1.0,97.5
39083,33.0,0.0,2.0,2.0,39.0,30.0,55.0,24.0,5850.0,0.0,83.0
11321,18.0,1.0,1.0,22.0,24.0,42.0,77.0,12.0,0.0,1.0,75.5
82622,51.0,1.0,1.0,10.0,33.0,21.0,99.0,0.0,450.0,0.0,65.5
83806,51.0,1.0,2.0,2.0,3.0,0.0,44.0,39.0,450.0,0.0,56.0
23111,21.0,0.0,3.0,6.0,45.0,42.0,99.0,15.0,4050.0,0.0,89.5
26597,21.0,0.0,4.0,26.0,24.0,24.0,11.0,27.0,6750.0,0.0,100.5
8032,18.0,0.0,4.0,26.0,3.0,42.0,66.0,24.0,1800.0,0.0,79.5
33623,21.0,1.0,3.0,22.0,36.0,12.0,88.0,21.0,450.0,0.0,75.5
24630,21.0,0.0,4.0,2.0,6.0,30.0,0.0,24.0,6300.0,1.0,77.0
71467,51.0,0.0,0.0,22.0,6.0,27.0,33.0,9.0,6750.0,1.0,84.5
27717,21.0,1.0,0.0,18.0,9.0,45.0,66.0,0.0,6750.0,1.0,84.5
67909,39.0,1.0,3.0,22.0,12.0,27.0,33.0,36.0,0.0,1.0,79.5
37265,33.0,0.0,0.0,26.0,24.0,27.0,44.0,15.0,5850.0,1.0,96.5
96154,57.0,0.0,4.0,14.0,9.0,3.0,44.0,15.0,3150.0,1.0,84.5
104554,57.0,1.0,3.0,14.0,24.0,24.0,55.0,18.0,2700.0,1.0,96.5
25130,21.0,0.0,4.0,6.0,21.0,9.0,33.0,0.0,1350.0,1.0,59.5
73920,51.0,0.0,1.0,26.0,33.0,48.0,22.0,36.0,3600.0,1.0,100.5
25500,21.0,0.0,4.0,10.0,30.0,30.0,33.0,0.0,1800.0,0.0,68.5
9495,18.0,1.0,0.0,26.0,12.0,15.0,22.0,0.0,2700.0,1.0,81.5
57757,39.0,0.0,2.0,26.0,21.0,33.0,11.0,30.0,6300.0,0.0,97.5
43601,33.0,0.0,4.0,26.0,0.0,48.0,66.0,12.0,4500.0,1.0,84.5
67759,39.0,1.0,3.0,18.0,18.0,0.0,66.0,33.0,3600.0,0.0,91.5
93562,57.0,0.0,2.0,22.0,36.0,6.0,22.0,0.0,3150.0,1.0,84.5
10944,18.0,1.0,1.0,14.0,48.0,36.0,22.0,21.0,5850.0,1.0,96.5
49541,33.0,1.0,3.0,14.0,15.0,33.0,44.0,18.0,6300.0,0.0,93.5
73976,51.0,0.0,1.0,26.0,36.0,18.0,11.0,3.0,900.0,1.0,72.5
44625,33.0,1.0,0.0,18.0,21.0,12.0,44.0,42.0,1350.0,0.0,76.5
27218,21.0,1.0,0.0,10.0,12.0,30.0,0.0,9.0,0.0,1.0,62.5
102871,57.0,1.0,2.0,22.0,42.0,0.0,11.0,48.0,6300.0,0.0,94.5
81274,51.0,1.0,0.0,14.0,36.0,27.0,99.0,30.0,0.0,0.0,85.5
41920,33.0,0.0,3.0,18.0,33.0,36.0,22.0,12.0,5400.0,1.0,90.5
107326,57.0,1.0,4.0,22.0,9.0,48.0,33.0,30.0,6300.0,0.0,94.5
14463,18.0,1.0,3.0,18.0,12.0,6.0,11.0,24.0,1800.0,1.0,73.5
93963,57.0,0.0,3.0,2.0,0.0,27.0,33.0,33.0,2250.0,1.0,77.0
49678,33.0,1.0,3.0,18.0,0.0,45.0,44.0,33.0,4050.0,1.0,94.5
70176,39.0,1.0,4.0,26.0,21.0,27.0,22.0,48.0,4500.0,0.0,97.5
73879,51.0,0.0,1.0,26.0,33.0,33.0,22.0,0.0,6300.0,0.0,90.5
40788,33.0,0.0,3.0,2.0,9.0,18.0,44.0,21.0,3150.0,0.0,70.0
21504,21.0,0.0,2.0,6.0,39.0,0.0,99.0,15.0,3150.0,1.0,83.5
1086,18.0,0.0,0.0,10.0,36.0,3.0,0.0,9.0,6750.0,0.0,77.5
35778,33.0,0.0,0.0,6.0,0.0,27.0,55.0,6.0,5850.0,1.0,77.5
38299,33.0,0.0,1.0,18.0,27.0,0.0,66.0,39.0,6750.0,0.0,94.5
92368,57.0,0.0,1.0,26.0,18.0,33.0,11.0,48.0,450.0,1.0,82.5
53978,39.0,0.0,0.0,18.0,6.0,9.0,0.0,30.0,6750.0,1.0,88.5
73465,51.0,0.0,1.0,22.0,24.0,45.0,0.0,27.0,900.0,0.0,85.5
102746,57.0,1.0,2.0,22.0,15.0,42.0,0.0,42.0,3600.0,0.0,97.5
26871,21.0,1.0,0.0,6.0,12.0,3.0,11.0,39.0,4500.0,1.0,81.5
5742,18.0,0.0,3.0,10.0,30.0,0.0,44.0,21.0,3600.0,1.0,83.5
40420,33.0,0.0,2.0,22.0,45.0,0.0,55.0,15.0,1800.0,0.0,75.5
40293,33.0,0.0,2.0,22.0,21.0,9.0,99.0,12.0,0.0,1.0,66.5
95939,57.0,0.0,4.0,10.0,15.0,39.0,88.0,39.0,4950.0,0.0,90.5
62593,39.0,1.0,0.0,14.0,36.0,33.0,33.0,0.0,900.0,0.0,75.5
23448,21.0,0.0,3.0,14.0,39.0,48.0,44.0,9.0,1800.0,0.0,75.5
21621,21.0,0.0,2.0,10.0,45.0,9.0,99.0,39.0,1350.0,0.0,72.5
71639,51.0,0.0,0.0,26.0,12.0,24.0,0.0,24.0,3150.0,0.0,94.5
98398,57.0,1.0,0.0,10.0,12.0,45.0,0.0,3.0,4500.0,0.0,77.5
33667,21.0,1.0,3.0,22.0,39.0,0.0,77.0,39.0,2250.0,1.0,94.5
77304,51.0,0.0,3.0,18.0,18.0,24.0,0.0,48.0,4500.0,0.0,97.5
64399,39.0,1.0,1.0,22.0,12.0,6.0,0.0,48.0,5400.0,0.0,88.5
63561,39.0,1.0,1.0,6.0,24.0,18.0,88.0,3.0,450.0,1.0,65.5
5232,18.0,0.0,2.0,26.0,42.0,48.0,33.0,39.0,2250.0,1.0,100.5
99873,57.0,1.0,0.0,26.0,36.0,45.0,22.0,0.0,3600.0,0.0,90.5
89316,57.0,0.0,0.0,6.0,9.0,21.0,11.0,15.0,2700.0,1.0,80.5
101124,57.0,1.0,1.0,22.0,24.0,33.0,66.0,33.0,6300.0,0.0,100.5
5396,18.0,0.0,3.0,2.0,42.0,12.0,11.0,33.0,3150.0,0.0,77.0
80186,51.0,1.0,0.0,2.0,39.0,48.0,88.0,6.0,4950.0,0.0,73.0
81940,51.0,1.0,1.0,2.0,15.0,15.0,88.0,9.0,5850.0,0.0,67.0
49391,33.0,1.0,3.0,10.0,39.0,21.0,44.0,30.0,900.0,1.0,75.5
99351,57.0,1.0,0.0,22.0,15.0,18.0,99.0,33.0,900.0,0.0,79.5
80070,51.0,1.0,0.0,2.0,27.0,48.0,22.0,0.0,4050.0,0.0,73.0
6262,18.0,0.0,3.0,18.0,42.0,12.0,0.0,9.0,1800.0,0.0,69.5
31005,21.0,1.0,2.0,14.0,9.0,36.0,0.0,9.0,900.0,0.0,69.5
40081,33.0,0.0,2.0,18.0,30.0,45.0,33.0,6.0,3600.0,1.0,90.5
68740,39.0,1.0,4.0,10.0,3.0,9.0,77.0,6.0,0.0,1.0,56.5
2871,18.0,0.0,1.0,14.0,18.0,39.0,0.0,27.0,0.0,0.0,82.5
66617,39.0,1.0,3.0,2.0,36.0,21.0,88.0,36.0,6300.0,1.0,80.0
78863,51.0,0.0,4.0,18.0,0.0,39.0,99.0,30.0,1350.0,0.0,79.5
3043,18.0,0.0,1.0,18.0,0.0,6.0,33.0,33.0,3600.0,0.0,88.5
2310,18.0,0.0,1.0,2.0,39.0,33.0,33.0,21.0,1800.0,0.0,64.0
63925,39.0,1.0,1.0,10.0,48.0,6.0,55.0,42.0,0.0,1.0,72.5
75600,51.0,0.0,2.0,22.0,39.0,30.0,99.0,27.0,4050.0,0.0,100.5
41701,33.0,0.0,3.0,18.0,9.0,0.0,77.0,27.0,3150.0,0.0,88.5
81242,51.0,1.0,0.0,14.0,36.0,15.0,11.0,36.0,5400.0,1.0,97.5
54153,39.0,0.0,0.0,18.0,33.0,18.0,77.0,45.0,5850.0,1.0,97.5
20954,21.0,0.0,1.0,26.0,48.0,18.0,99.0,48.0,1350.0,0.0,82.5
9743,18.0,1.0,1.0,2.0,3.0,45.0,11.0,15.0,5850.0,1.0,73.0
103454,57.0,1.0,2.0,26.0,33.0,0.0,99.0,42.0,450.0,0.0,79.5
19910,21.0,0.0,1.0,14.0,6.0,45.0,88.0,0.0,450.0,0.0,69.5
102143,57.0,1.0,2.0,10.0,42.0,33.0,0.0,33.0,5400.0,1.0,93.5
57495,39.0,0.0,2.0,22.0,36.0,18.0,55.0,45.0,450.0,0.0,82.5
1789,18.0,0.0,0.0,18.0,45.0,48.0,77.0,30.0,4500.0,0.0,100.5
81441,51.0,1.0,0.0,18.0,15.0,15.0,0.0,48.0,1800.0,0.0,79.5
12794,18.0,1.0,2.0,18.0,12.0,33.0,66.0,12.0,4950.0,0.0,84.5
48518,33.0,1.0,2.0,22.0,21.0,18.0,44.0,30.0,6300.0,1.0,94.5
21156,21.0,0.0,2.0,2.0,33.0,3.0,99.0,27.0,2250.0,1.0,77.0
19680,21.0,0.0,1.0,6.0,6.0,33.0,44.0,45.0,0.0,1.0,72.5
67119,39.0,1.0,3.0,10.0,0.0,12.0,33.0,24.0,2700.0,0.0,81.5
11023,18.0,1.0,1.0,18.0,27.0,33.0,33.0,45.0,5850.0,1.0,100.5
95044,57.0,0.0,3.0,18.0,12.0,33.0,66.0,3.0,450.0,1.0,69.5
105061,57.0,1.0,3.0,22.0,33.0,21.0,44.0,18.0,2700.0,1.0,93.5
78641,51.0,0.0,4.0,14.0,18.0,21.0,66.0,27.0,1350.0,1.0,79.5
45168,33.0,1.0,0.0,26.0,18.0,48.0,11.0,3.0,3600.0,0.0,87.5
1260,18.0,0.0,0.0,14.0,9.0,18.0,99.0,6.0,1350.0,0.0,66.5
21263,21.0,0.0,2.0,6.0,3.0,33.0,44.0,3.0,900.0,0.0,62.5
79846,51.0,0.0,4.0,26.0,42.0,39.0,44.0,48.0,450.0,1.0,85.5
46289,33.0,1.0,1.0,14.0,18.0,9.0,22.0,27.0,900.0,1.0,76.5
54102,39.0,0.0,0.0,18.0,12.0,36.0,77.0,6.0,5850.0,0.0,84.5
77528,51.0,0.0,3.0,18.0,39.0,0.0,88.0,9.0,3600.0,1.0,84.5
93631,57.0,0.0,2.0,26.0,6.0,12.0,0.0,24.0,4500.0,0.0,88.5
40650,33.0,0.0,2.0,26.0,48.0,3.0,44.0,18.0,5850.0,1.0,90.5
58963,39.0,0.0,3.0,14.0,27.0,33.0,11.0,45.0,4950.0,0.0,100.5
8442,18.0,1.0,0.0,6.0,6.0,39.0,99.0,42.0,2250.0,1.0,87.5
29698,21.0,1.0,1.0,22.0,3.0,30.0,44.0,6.0,2700.0,0.0,84.5
3586,18.0,0.0,1.0,26.0,42.0,39.0,44.0,39.0,1800.0,0.0,85.5
48698,33.0,1.0,2.0,22.0,36.0,24.0,22.0,6.0,5850.0,1.0,90.5
33158,21.0,1.0,3.0,14.0,21.0,21.0,33.0,48.0,900.0,1.0,79.5
30410,21.0,1.0,2.0,6.0,18.0,0.0,88.0,3.0,5400.0,1.0,74.5
24657,21.0,0.0,4.0,2.0,6.0,39.0,44.0,36.0,2250.0,0.0,77.0
100171,57.0,1.0,1.0,6.0,24.0,6.0,33.0,15.0,6750.0,1.0,83.5
57653,39.0,0.0,2.0,22.0,45.0,48.0,0.0,6.0,2700.0,1.0,90.5
